Station_ID,Station_Name,Available_Lines,Borough,Physical_Line
S21,Oakwood Heights,SIR,SI,Staten Island
D41,Ocean Pkwy,Q,Bk,Broadway - Brighton
S26,Old Town,SIR,SI,Staten Island
A65,Ozone Park-Lefferts Blvd,A,Q,Liberty Av
S03,Park Pl,S,Bk,Franklin Shuttle
228,Park Place,2 3,M,Clark St
608,Parkchester,6,Bx,Pelham
D27,Parkside Av,Q,Bk,Broadway - Brighton
F03,Parsons Blvd,F,Q,Queens Blvd
601,Pelham Bay Park,6,Bx,Pelham
504,Pelham Pkwy,5,Bx,Dyre Av
211,Pelham Pkwy,2 5,Bx,Lenox - White Plains Rd
255,Pennsylvania Av,3,Bk,Eastern Pky
S14,Pleasant Plains,SIR,SI,Staten Island
241,President St-Medgar Evers College,2 5,Bk,Nostrand
R22,Prince St,R W,M,Broadway - Brighton
S15,Prince's Bay,SIR,SI,Staten Island
R34,Prospect Av,R,Bk,4th Av
219,Prospect Av,2 5,Bx,Lenox - White Plains Rd
D26,Prospect Park,B Q S,Bk,Broadway - Brighton
G21,Queens Plaza,E F R,Q,Queens Blvd
R09,Queensboro Plaza,N W,Q,Astoria
718,Queensboro Plaza,7,Q,Flushing
A49,Ralph Av,C,Bk,8th Av - Fulton St
139,Rector St,1,M,Broadway - 7Av
R26,Rector St,R W,M,Broadway
S13,Richmond Valley,SIR,SI,Staten Island
253,Rockaway Av,3,Bk,Eastern Pky
A50,Rockaway Av,C,Bk,8th Av - Fulton St
A61,Rockaway Blvd,A,Q,Liberty Av
H15,Rockaway Park-Beach 116 St,A S,Q,Rockaway
B06,Roosevelt Island,M,M,63rd St
252,Saratoga Av,3,Bk,Eastern Pky
M06,Seneca Av,M,Q,Myrtle Av
D39,Sheepshead Bay,B Q,Bk,Broadway - Brighton
A54,Shepherd Av,C,Bk,8th Av - Fulton St
217,Simpson St,2 5,Bx,Lenox - White Plains Rd
F22,Smith-9 Sts,F G,Bk,6th Av - Culver
142,South Ferry,1,M,Broadway - 7Av
A33,Spring St,C E,M,8th Av - Fulton St
638,Spring St,6,M,Lexington Av
S31,St George,SIR,SI,Staten Island
609,St Lawrence Av,6,Bx,Pelham
S29,Stapleton,SIR,SI,Staten Island
G19,Steinway St,M R,Q,Queens Blvd
242,Sterling St,2 5,Bk,Nostrand
F04,Sutphin Blvd,F,Q,Queens Blvd
G06,Sutphin Blvd-Archer Av-JFK Airport,E J Z,Q,Queens - Archer
L25,Sutter Av,L,Bk,Canarsie
251,Sutter Av-Rutland Rd,3,Bk,Eastern Pky
725,Times Sq-42 St,7,M,Flushing
902,Times Sq-42 St,S,M,Lexington - Shuttle
127,Times Sq-42 St,1 2 3,M,Broadway - 7Av
R16,Times Sq-42 St,N Q R W,M,Broadway - Brighton
S30,Tompkinsville,SIR,SI,Staten Island
S09,Tottenville,SIR,SI,Staten Island
D07,Tremont Av,B D,Bx,Concourse
R32,Union St,R,Bk,4th Av
A48,Utica Av,A C,Bk,8th Av - Fulton St
101,Van Cortlandt Park-242 St,1,Bx,Broadway - 7Av
J23,Van Siclen Av,J Z,Bk,Jamaica
256,Van Siclen Av,3,Bk,Eastern Pky
A53,Van Siclen Av,C,Bk,8th Av - Fulton St
721,Vernon Blvd-Jackson Av,7,Q,Flushing
A32,W 4 St-Wash Sq,A C E,M,8th Av - Fulton St
D20,W 4 St-Wash Sq,B D F M,M,6th Av - Culver
D42,W 8 St-NY Aquarium,F Q,Bk,Broadway - Brighton
138,WTC Cortlandt,1,M,Broadway - 7Av
201,Wakefield-241 St,2,Bx,Lenox - White Plains Rd
230,Wall St,2 3,M,Clark St
419,Wall St,4 5,M,Lexington Av
214,West Farms Sq-E Tremont Av,2 5,Bx,Lenox - White Plains Rd
604,Westchester Sq-E Tremont Av,6,Bx,Pelham
R27,Whitehall St-South Ferry,R W,M,Broadway
612,Whitlock Av,6,Bx,Pelham
L20,Wilson Av,L,Bk,Canarsie
243,Winthrop St,2 5,Bk,Nostrand
G11,Woodhaven Blvd,M R,Q,Queens Blvd
J15,Woodhaven Blvd,J Z,Q,Jamaica
401,Woodlawn,4,Bx,Jerome Av
E01,World Trade Center,E,M,8th Av - Fulton St
F18,York St,F,Bk,6th Av - Culver
606,Zerega Av,6,Bx,Pelham
